update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what
1138829826,normal,1138829843,critical,126136,,,,
1138795338,critical,1138894115,normal,126058,,,,
1138787512,trivial,1140427188,normal,126025,,,,
1140429233,major,1140666379,critical,128667,,,,
1141129647,normal,1141129692,blocker,129819,,,,
1139403739,normal,1144150540,major,126956,,,,
1149840918,normal,1149840939,critical,146258,,,,
1150859015,blocker,1151039010,minor,148005,1174898505,major,,
1151465141,blocker,1151478181,major,148961,,,,
1151786673,major,1152202591,normal,149388,,,,
1153217985,normal,1153218001,minor,150972,,,,
1153638031,normal,1153638577,major,151521,,,,
1141955215,blocker,1155636437,normal,131273,,,,
1158076274,normal,1158077203,blocker,157112,,,,
1158077147,normal,1158077242,blocker,157113,,,,
1161839319,critical,1161843527,major,162381,,,,
1162617107,normal,1162617636,major,163431,,,,
1162666526,normal,1162666656,major,163464,1162687913,critical,,
1162828415,normal,1162828478,blocker,163602,,,,
1160481242,normal,1162894703,major,160359,,,,
1163679936,normal,1163679956,critical,164848,,,,
1168135625,blocker,1168135951,major,169777,,,,
1169715301,enhancement,1169715747,normal,171674,,,,
1169804162,enhancement,1169804179,normal,171808,,,,
1169715531,enhancement,1169815538,normal,171675,,,,
1165412008,trivial,1172033043,normal,166991,,,,
1172215217,normal,1172217434,major,175267,,,,
1172428495,normal,1172430659,major,175470,,,,
1172544954,enhancement,1172631347,normal,175659,,,,
1173457992,normal,1173458152,major,176871,,,,
1173545517,normal,1173545540,major,176906,,,,
1173547008,normal,1173547025,major,176909,,,,
1174471450,normal,1174474136,major,178568,,,,
1173780352,normal,1175060434,minor,177154,1175070521,major,,
1175174326,normal,1175270091,major,180063,,,,
1175267948,blocker,1175478023,normal,180305,,,,
1175174058,normal,1175514969,major,180062,,,,
1176100939,normal,1176100960,major,181588,,,,
1174151095,normal,1176120125,major,177917,,,,
1175262693,normal,1176775812,critical,180286,,,,
1176375401,normal,1177362756,critical,182173,,,,
1173069322,normal,1177681474,blocker,176353,,,,
1176775511,enhancement,1178172459,normal,182700,,,,
1178194291,major,1178239859,minor,185408,,,,
1178516936,normal,1178592889,major,185741,,,,
1178614309,normal,1178614515,critical,185956,,,,
1178798399,major,1178798467,blocker,186422,,,,
1177411826,normal,1181131767,major,183825,,,,
1181552611,normal,1181552629,major,191981,,,,
1181628300,normal,1181628326,critical,192165,1181730785,normal,,
1187754546,normal,1188621015,critical,200790,,,,
1188578872,trivial,1188800453,normal,201973,,,,
1184119694,normal,1189992078,minor,196118,,,,
1140976272,normal,1191967478,major,129507,,,,
1192761191,major,1193175485,critical,206862,,,,
1195028669,normal,1195235909,major,209801,,,,
1192625157,normal,1195491236,major,206676,,,,
1196910293,normal,1197330043,major,212123,,,,
1196941942,enhancement,1199284014,normal,212166,,,,
1200334905,major,1200371204,normal,215283,1200415531,major,,
1195523301,major,1200877408,critical,210349,,,,
1202413119,major,1203906605,normal,218272,,,,
1203912015,minor,1203930099,major,220158,,,,
1204179156,blocker,1204604154,minor,220731,,,,
1199318857,normal,1207170848,major,214194,,,,
1208315970,major,1208508193,normal,227288,,,,
1208899066,major,1209022552,normal,228315,,,,
1212040441,normal,1212041613,major,234591,,,,
1212164331,minor,1212532557,major,234952,,,,
1212164296,minor,1212677127,major,234951,,,,
1212582398,critical,1212749335,major,235666,,,,
1212934649,normal,1212935714,major,236197,,,,
1215321812,enhancement,1215327654,blocker,239710,,,,
1215077459,minor,1215481693,normal,239464,,,,
1220835418,major,1220838456,critical,246524,,,,
1221223193,normal,1221224462,major,247192,,,,
1223956127,critical,1223965607,trivial,250742,,,,
1225214580,normal,1225214735,critical,252511,,,,
1228148120,critical,1228211841,major,257140,,,,
1228453850,normal,1229326516,major,257700,,,,
1234877124,enhancement,1234878232,normal,265199,,,,
1236791186,normal,1236791224,blocker,268233,,,,
1239211818,normal,1239211841,critical,271713,,,,
1240372190,normal,1240372218,major,273218,,,,
1238044166,normal,1240886853,major,270103,,,,
1241382042,normal,1241425045,critical,274772,,,,
1241631534,critical,1241703037,normal,275238,,,,
1245141010,normal,1245144325,critical,280454,,,,
1245753473,normal,1245753897,trivial,281247,,,,
1245836186,critical,1245917496,blocker,281363,,,,
1244725773,normal,1245946284,minor,279996,,,,
1247816120,normal,1247816150,minor,283847,,,,
1248265371,normal,1248306687,major,284318,,,,
1174530905,enhancement,1248778940,normal,178731,,,,
1249303795,normal,1249383650,trivial,285482,,,,
1249303529,normal,1249383898,trivial,285480,,,,
1254273959,trivial,1254302460,critical,290863,,,,
1254743365,normal,1254744622,major,291393,1254744983,normal,1275045238,major
1254934428,normal,1254936134,major,291690,,,,
1256116877,major,1256121215,normal,292908,,,,
1257263294,normal,1257417829,minor,294124,,,,
1251355171,normal,1257976209,trivial,287815,,,,
1260365900,minor,1260454990,normal,297387,,,,
1265382038,normal,1265706415,major,302006,,,,
1265898585,normal,1265898902,minor,302636,,,,
1267177194,normal,1267177335,minor,304047,,,,
1267193093,normal,1267193584,minor,304089,,,,
1267629791,normal,1267630015,major,304588,,,,
1266806279,major,1268396908,minor,303463,,,,
1268651279,normal,1268651332,critical,305875,,,,
1267157686,normal,1268883886,major,304010,,,,
1234536342,enhancement,1271248779,major,264895,,,,
1271317365,normal,1271317381,major,309309,,,,
1274418573,normal,1274421816,major,313893,,,,
1271059359,critical,1274461877,major,308835,1274644090,critical,1274644130,major
1274769841,normal,1274773689,major,314258,,,,
1274855224,normal,1274866205,critical,314447,,,,
1251988757,normal,1275044128,minor,288568,,,,
1275472104,normal,1275472582,major,315415,,,,
1273689376,normal,1275491060,major,312736,,,,
1276179780,critical,1276180552,normal,316528,,,,
1275922645,critical,1276524947,normal,316060,,,,
1277447945,enhancement,1277448171,critical,317960,,,,
1278502055,major,1278933089,minor,319166,,,,
1279082114,normal,1279082125,trivial,319826,,,,
1280927128,enhancement,1281328566,normal,321780,,,,
1280223973,normal,1282025438,major,321040,,,,
1285820711,minor,1285901255,normal,326654,,,,
1287041657,normal,1287041674,major,327775,,,,
1210853841,blocker,1287871908,normal,232373,,,,
1287655522,normal,1288255202,major,328380,,,,
1285575328,normal,1294743909,critical,326307,,,,
1292234938,major,1296129453,trivial,332450,,,,
1277273374,enhancement,1299499090,normal,317686,,,,
1136901940,normal,,,123302,,,,
1136949879,normal,,,123397,,,,
1136975475,normal,,,123461,,,,
1136990399,normal,,,123497,,,,
1137059539,normal,,,123605,,,,
1137680167,normal,,,124536,,,,
1138375616,normal,,,125571,,,,
1138673534,normal,,,125804,,,,
1138692310,normal,,,125821,,,,
1138872185,minor,,,126194,,,,
1138939135,normal,,,126315,,,,
1139477594,minor,,,127077,,,,
1139561748,minor,,,127262,,,,
1139840919,major,,,127538,,,,
1140119710,normal,,,128333,,,,
1140146356,blocker,,,128370,,,,
1140167779,minor,,,128420,,,,
1141116270,normal,,,129782,,,,
1141127540,normal,,,129813,,,,
1141218368,normal,,,130016,,,,
1141288785,normal,,,130123,,,,
1141301397,normal,,,130170,,,,
1141313550,normal,,,130227,,,,
1141683123,normal,,,130693,,,,
1141810732,normal,,,130912,,,,
1141876015,trivial,,,131063,,,,
1142351963,critical,,,131824,,,,
1142418779,blocker,,,131975,,,,
1142426385,normal,,,132001,,,,
1142961620,normal,,,132759,,,,
1142962199,normal,,,132760,,,,
1143622753,normal,,,133866,,,,
1143665186,normal,,,133981,,,,
1143700034,major,,,134066,,,,
1143801585,normal,,,134292,,,,
1143811275,major,,,134310,,,,
1143827700,normal,,,134349,,,,
1144709005,major,,,136040,,,,
1144750973,normal,,,136136,,,,
1144871733,normal,,,136513,,,,
1145307137,major,,,137127,,,,
1145368111,minor,,,137357,,,,
1145501261,major,,,137674,,,,
1146049433,normal,,,138676,,,,
1146081423,normal,,,138807,,,,
1146126189,normal,,,138914,,,,
1146130132,normal,,,138954,,,,
1146137202,normal,,,139010,,,,
1146157568,major,,,139094,,,,
1146221783,normal,,,139236,,,,
1146241917,normal,,,139323,,,,
1146473129,normal,,,139507,,,,
1146554220,critical,,,139663,,,,
1146554860,major,,,139667,,,,
1146573919,critical,,,139797,,,,
1146629268,normal,,,139908,,,,
1146635598,critical,,,139920,,,,
1146649451,normal,,,139988,,,,
1146744633,normal,,,140211,,,,
1146798849,normal,,,140317,,,,
1146835693,normal,,,140424,,,,
1147173968,minor,,,140854,,,,
1147235551,normal,,,141001,,,,
1147341841,normal,,,141334,,,,
1147422594,critical,,,141541,,,,
1147931219,normal,,,142470,,,,
1149221559,normal,,,145032,,,,
1149501124,normal,,,145365,,,,
1149510170,critical,,,145403,,,,
1149598553,normal,,,145602,,,,
1150070174,major,,,146510,,,,
1150097263,normal,,,146562,,,,
1150186349,major,,,146830,,,,
1150187849,normal,,,146834,,,,
1150213290,normal,,,146923,,,,
1150277228,normal,,,147070,,,,
1150359668,major,,,147296,,,,
1150497115,major,,,147567,,,,
1150700431,normal,,,147713,,,,
1150804990,normal,,,147910,,,,
1151066920,normal,,,148435,,,,
1151067801,normal,,,148436,,,,
