update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what
1138876024,Consecutive C prog. runs -> Error logged from Debug Core:,1138878213,Consecutive C prog. runs -> Error logged from Debug Core:,126211,,,,,,
1138891572,Manual change in Memory View is not propagated to other views like Variable view and Expression View,1138895064,Manual change in Memory or Variables view is not propagated to Expressions view,126262,,,,,,
1139561748,Spaces need quoting for File/Directory FieldEditor,1139823927,[Preferences] Spaces need quoting for File/Directory FieldEditor,127262,1140770667,[Preferences] Consumers of File/Directory FieldEditor values need to quote/escape,,,,
1138787512,CApplicationLaunchShortcut call to ebugUITools.saveAndBuild is redundant,1140427188,CApplicationLaunchShortcut call to DebugUITools.saveAndBuild invokes workspace wide build unnecessarily,126025,,,,,,
1140429233,"unpredictable switcheing between ""all"" and ""clean all""",1140666379,"unpredictable switching between ""all"" and ""clean all""",128667,,,,,,
1141600459,"Callisto update site says ""can't find jdt.apt""",1141609957,"Callisto update site says ""can't find cdt.core.win32""",130497,,,,,,
1145368111,cancel build does not cancel build immediately,1145370615,[Progress] cancel build does not cancel build immediately,137357,,,,,,
1145501261,MBS: explicit rules generated for each file if the project location contains spec chars,1145501398,MBS: explicit rules generated for each file if the project location contains spaces or spec chars,137674,,,,,,
1146221783,Need context of the strings,1146486959,Need context of the strings #82,139236,,,,,,
1146216858,"""if"" and ""at"" translateable?",1146665481,"""if"" and ""at"" translateable? #71",139203,,,,,,
1146573919,Managed builder is interfering with Standard projects,1146709415,Managed builder is interfering with all non-MBS projects,139797,,,,,,
1147703396,Items not sorted in C/C++ Projects resource view,1147703913,Unapparent sort on items in C/C++ Projects resource view,141881,,,,,,
1148891263,Search results do now appear if not running in background,1148891343,Search results do not appear if not running in background,144232,,,,,,
1148999066,exception in indexer,1149151518,stack overflow exception in indexer,144543,,,,,,
1148361802,Kindly review the patch for BinaryParserBlock.java,1149258688,Fix visibility on a fields in BinaryParserBlock,143175,,,,,,
1149654701,Spawner treats environment differently for Windows and Linux,1149825179,Spawner treats environment differently for Windows and other Platforms,145737,,,,,,
1150329055,Rename Refactor from C/C++ Projects window does not work.,1150684732,Rename Refactoring: missleading error message,147223,,,,,,
1150859015,Eclipse blocks at startup due to saved open CDT editor,1151068923,[Preferences] Eclipse blocks at startup due to saved open CDT editor,148005,1174663461,[StatusHandling] Eclipse blocks at startup due to saved open CDT editor,1174898505,[Preferences] Eclipse blocks at startup due to saved open CDT editor,,
1150091242,Regression in indexer support for searching derived types and include files.,1152628821,Regression in indexer support for searching derived types,146543,,,,,,
1148832263,StackOverflowError in fast indexer,1152629552,StackOverflowError in fast indexer with templates,144139,,,,,,
1153733271,The Indexer is too aggressive,1153735630,Eclipse IDE's Indexer is too aggressive,151595,,,,,,
1153481810,Eclipse freezes,1153741091,Content Assist makes Eclipse freeze,151440,,,,,,
1154206658,[Content Assist] Content assist does not consider operator -> when deciding what to show.,1154742631,"[Content Assist] Content assist does not consider operator -> when deciding what to show, if type is typedef",152265,1155525374,[Content Assist] Operator -> doesn't work sometimes in situations involving typedef and convoluted preprocessor conditionals,,,,
1156222238,PDOMFastReindex skips all headers?,1156246192,PDOMFastReindex skips orphaned headers?,154681,,,,,,
