update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what,update/5/when,update/5/what
1136263498,Platform,1136277673,JDT,122501,,,,,,,,
1136302134,Platform,1136302680,JDT,122566,,,,,,,,
1136300870,PDE,1136333648,JDT,122564,,,,,,,,
1136703130,Platform,1136772836,JDT,123029,,,,,,,,
1136563105,Platform,1136796321,JDT,122981,,,,,,,,
1136879976,Platform,1136885210,JDT,123243,,,,,,,,
1136771946,Platform,1136906866,JDT,123066,,,,,,,,
1136886811,Platform,1136908406,JDT,123263,,,,,,,,
1136998975,Platform,1137032373,JDT,123518,,,,,,,,
1136982904,Platform,1137032923,JDT,123485,,,,,,,,
1137003724,Platform,1137051592,JDT,123528,,,,,,,,
1137146761,Platform,1137146775,JDT,123780,1137146945,Platform,1137147128,JDT,,,,
1137301594,Platform,1137383453,JDT,123898,,,,,,,,
1137210282,Platform,1137387870,JDT,123869,,,,,,,,
1137388116,Platform,1137388293,JDT,123945,,,,,,,,
1137385917,Platform,1137391005,JDT,123943,,,,,,,,
1137388296,Platform,1137398330,JDT,123946,,,,,,,,
1137398746,Platform,1137402074,JDT,123958,,,,,,,,
1137404833,Platform,1137405003,JDT,123973,,,,,,,,
1137178270,Platform,1137415848,JDT,123851,,,,,,,,
1137328199,Platform,1137421293,JDT,123906,,,,,,,,
1137442067,Platform,1137443801,JDT,124064,,,,,,,,
1137774129,Platform,1137814244,JDT,124737,,,,,,,,
1137870101,Platform,1137983091,JDT,124792,,,,,,,,
1137987894,Platform,1138010858,JDT,124832,,,,,,,,
1138614176,JDT,1138615586,Platform,125707,1150830837,JDT,,,,,,
1138738022,Platform,1138861040,JDT,125965,,,,,,,,
1139078503,PDE,1139168760,JDT,126470,,,,,,,,
1139199748,Platform,1139216190,JDT,126535,,,,,,,,
1139218093,Platform,1139222036,JDT,126572,,,,,,,,
1139304945,Platform,1139306158,JDT,126734,,,,,,,,
1139448856,Platform,1139472039,JDT,127032,,,,,,,,
1139437211,Platform,1139472947,JDT,127022,,,,,,,,
1140018301,JDT,1140064348,PDE,128105,1140076186,Platform,1140088344,JDT,,,,
1140010913,Platform,1140072484,JDT,128088,,,,,,,,
1140263152,Platform,1140334155,JDT,128520,,,,,,,,
1140204256,Platform,1140423178,JDT,128498,,,,,,,,
1139913466,Platform,1140427448,JDT,127769,,,,,,,,
1140421663,Platform,1140491605,JDT,128632,,,,,,,,
1140444711,Platform,1140515428,JDT,128712,,,,,,,,
1137660449,PDE,1140517911,JDT,124489,,,,,,,,
1140616370,PDE,1140616551,JDT,129035,,,,,,,,
1140655624,Platform,1140686507,JDT,129111,,,,,,,,
1139910471,JDT,1140760216,Platform,127735,1140775015,JDT,,,,,,
1140718529,Platform,1140769272,JDT,129261,,,,,,,,
1138343572,Platform,1141030294,JDT,125457,,,,,,,,
1140960474,Platform,1141035384,JDT,129498,,,,,,,,
1141052846,Platform,1141094499,JDT,129675,,,,,,,,
1141138056,Platform,1141141601,JDT,129847,,,,,,,,
1141258033,Platform,1141287270,JDT,130077,,,,,,,,
1141196602,Platform,1141377792,JDT,129932,,,,,,,,
1141381709,JDT,1141381739,Platform,130338,1141384143,JDT,,,,,,
1141553224,Platform,1141807351,JDT,130469,,,,,,,,
1141801980,Platform,1141807742,JDT,130895,,,,,,,,
1141371534,Platform,1141814431,JDT,130309,,,,,,,,
1141461457,Platform,1141817964,JDT,130432,,,,,,,,
1139912705,Platform,1141818786,JDT,127760,,,,,,,,
1141813077,Platform,1141818928,JDT,130926,,,,,,,,
1141804122,Platform,1141824146,JDT,130896,,,,,,,,
1141829210,Platform,1141886473,JDT,130978,,,,,,,,
1141813336,Platform,1141894113,JDT,130927,,,,,,,,
1140097356,Platform,1142246639,JDT,128276,,,,,,,,
1142346189,PDE,1142349787,JDT,131799,,,,,,,,
1142418064,Platform,1142419330,JDT,131969,,,,,,,,
1142328202,Platform,1142504291,JDT,131715,,,,,,,,
1142413210,Platform,1142505345,JDT,131937,,,,,,,,
1138600665,Platform,1142512299,JDT,125690,,,,,,,,
1142421618,Platform,1142512413,JDT,131985,,,,,,,,
1142496305,Platform,1142512582,JDT,132146,,,,,,,,
1142327003,JDT,1142566106,Platform,131707,1142577185,JDT,,,,,,
1142574912,Platform,1142578655,JDT,132315,,,,,,,,
1142833453,Platform,1142847066,JDT,132530,,,,,,,,
1141831015,Platform,1142858720,JDT,130986,,,,,,,,
1142920636,Platform,1142921737,JDT,132665,,,,,,,,
1143234842,Platform,1143401108,JDT,133236,,,,,,,,
1143461787,Platform,1143461931,JDT,133409,,,,,,,,
1143529740,JDT,1143540518,Platform,133525,1144421629,JDT,,,,,,
1143627479,Platform,1143631753,JDT,133888,,,,,,,,
1142404989,Platform,1143703114,JDT,131914,,,,,,,,
1144009365,Platform,1144089934,JDT,134431,,,,,,,,
1144137177,Platform,1144149378,JDT,134748,,,,,,,,
1144291848,Platform,1144305674,JDT,135225,,,,,,,,
1140601971,Platform,1144316237,JDT,128987,,,,,,,,
1144333395,Platform,1144333874,JDT,135385,,,,,,,,
1144292675,Platform,1144392706,JDT,135227,,,,,,,,
1144244405,Platform,1144398035,JDT,135122,,,,,,,,
1144400740,Platform,1144408652,JDT,135565,,,,,,,,
1144467998,Platform,1144655703,JDT,135695,,,,,,,,
1144732657,Platform,1144735047,JDT,136088,,,,,,,,
1144782705,Platform,1144829994,JDT,136229,,,,,,,,
1144254451,Platform,1144842545,JDT,135168,,,,,,,,
1145262489,Platform,1145263058,JDT,136984,,,,,,,,
1144928702,JDT,1145300678,Platform,136695,1145354484,JDT,,,,,,
1145366477,PDE,1145366686,JDT,137339,,,,,,,,
1145349226,Platform,1145374949,JDT,137218,,,,,,,,
1145349529,Platform,1145378403,JDT,137219,1145417929,Platform,1145445255,JDT,,,,
1145378751,PDE,1145379276,JDT,137393,,,,,,,,
1145429323,Platform,1145446578,JDT,137484,,,,,,,,
1145518318,Platform,1145524710,JDT,137713,,,,,,,,
1145481222,CDT,1145597836,Platform,137649,1145597903,JDT,,,,,,
1145582688,Platform,1145604803,JDT,137888,,,,,,,,
1145608362,JDT,1145620469,PDE,137947,1145824022,JDT,,,,,,
1145613546,Platform,1145621121,JDT,137976,,,,,,,,
1145676456,Platform,1145787835,JDT,138098,,,,,,,,
1145866616,Platform,1145866758,JDT,138188,,,,,,,,
1145970549,Platform,1145976423,JDT,138470,,,,,,,,
1145945418,JDT,1146028553,Platform,138335,1247701886,JDT,1247705058,Platform,1268099869,JDT,,
1146038571,PDE,1146038618,JDT,138628,,,,,,,,
1146126290,Platform,1146126872,JDT,138916,,,,,,,,
1146382217,Platform,1146466857,JDT,139436,,,,,,,,
1146573990,Platform,1146578848,JDT,139798,,,,,,,,
1146111409,JDT,1146584750,PDE,138877,1153232079,JDT,,,,,,
1146065335,Platform,1146598345,JDT,138767,,,,,,,,
1146210687,JDT,1146640371,Platform,139152,1146656317,JDT,,,,,,
1146667825,Platform,1146729232,JDT,140080,,,,,,,,
1144937509,Platform,1146731334,JDT,136746,,,,,,,,
1146673518,Platform,1146733436,JDT,140087,,,,,,,,
1146804743,Platform,1146804951,JDT,140330,,,,,,,,
1146815387,Platform,1146815497,JDT,140359,,,,,,,,
1147007868,Platform,1147031687,JDT,140505,,,,,,,,
1147126930,Platform,1147152954,JDT,140730,,,,,,,,
1147170121,JDT,1147194815,PDE,140828,1147201081,JDT,,,,,,
1147218372,Platform,1147248851,JDT,140982,,,,,,,,
1147248219,JDT,1147248993,Web Tools,141027,1147249135,JDT,,,,,,
1147182040,Platform,1147249229,JDT,140917,,,,,,,,
1144049933,Platform,1147344873,JDT,134502,,,,,,,,
1147354863,Platform,1147356573,JDT,141400,,,,,,,,
1144933342,Platform,1147431184,JDT,136724,,,,,,,,
1147614536,Platform,1147628795,JDT,141700,,,,,,,,
1147689847,Platform,1147694477,JDT,141801,,,,,,,,
1147773603,Platform,1147780369,JDT,142018,,,,,,,,
1141304353,Platform,1147866516,JDT,130190,,,,,,,,
1148288103,Platform,1148288325,JDT,142997,,,,,,,,
1148302410,Platform,1148369101,JDT,143036,,,,,,,,
1148849068,Platform,1148880321,JDT,144150,,,,,,,,
1149080768,Platform,1149090046,JDT,144747,,,,,,,,
1149178966,Platform,1149241704,JDT,144994,,,,,,,,
1149654393,Platform,1149674613,JDT,145733,,,,,,,,
1149679681,Platform,1149690023,JDT,145812,,,,,,,,
1149757392,Platform,1149762407,JDT,146018,,,,,,,,
1149837088,Platform,1149841558,JDT,146246,,,,,,,,
1149860777,Platform,1150095688,JDT,146331,,,,,,,,
1150110405,Platform,1150110937,JDT,146624,,,,,,,,
1150210760,Platform,1150212909,JDT,146920,,,,,,,,
1150274979,Platform,1150280901,JDT,147065,,,,,,,,
1150441618,Platform,1150442230,JDT,147429,,,,,,,,
1150626151,Platform,1150693137,PDE,147668,1150698905,JDT,,,,,,
1150693449,JDT,1150811894,Platform,147708,1150831270,JDT,,,,,,
1151203370,Platform,1151226823,JDT,148556,,,,,,,,
1151484864,JDT,1151487728,Platform,149013,1151508173,JDT,,,,,,
1150901483,Platform,1151655508,JDT,148118,,,,,,,,
1152203897,Platform,1152252483,JDT,149917,,,,,,,,
1152517901,Platform,1152527955,JDT,150136,,,,,,,,
