update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what
1136300870,normal,1136342594,minor,122564,,,,
1136263498,normal,1136343011,minor,122501,1136347620,normal,,
1136350800,critical,1136360140,normal,122608,,,,
1136385381,normal,1136425733,minor,122668,,,,
1136258706,normal,1136533056,enhancement,122493,1138976058,normal,,
1136792287,normal,1136792296,major,123096,,,,
1136871805,normal,1136872239,minor,123229,,,,
1136882455,normal,1136882468,major,123246,,,,
1136949292,critical,1136950450,major,123396,,,,
1136953863,enhancement,1136960572,minor,123403,,,,
1136982904,normal,1137032923,minor,123485,,,,
1137059414,normal,1137059799,minor,123604,,,,
1137406303,normal,1137464586,trivial,123981,,,,
1137178270,normal,1137464793,minor,123851,,,,
1137499340,normal,1137553587,trivial,124179,,,,
1136802184,enhancement,1137579114,normal,123118,,,,
1137987894,normal,1138010858,major,124832,,,,
1137749718,critical,1138075039,normal,124657,,,,
1138082062,normal,1138082431,major,124990,,,,
1138096234,major,1138097176,critical,125013,,,,
1138101081,normal,1138101672,minor,125028,,,,
1138096797,normal,1138154351,minor,125016,,,,
1137490104,normal,1138155194,major,124137,,,,
1137763764,minor,1138326876,normal,124702,,,,
1138446198,normal,1138446351,major,125624,,,,
1138587534,major,1138587896,minor,125673,,,,
1138955984,normal,1138956379,minor,126342,1179217912,normal,,
1138959619,critical,1139214860,normal,126353,,,,
1139245368,normal,1139281257,major,126662,,,,
1139425019,major,1139449951,normal,127006,,,,
1139460367,normal,1139473118,critical,127048,,,,
1139481945,critical,1139483564,normal,127100,,,,
1139457154,major,1139504171,normal,127043,,,,
1139520355,minor,1139524051,normal,127213,,,,
1139551423,normal,1139551961,major,127250,,,,
1139493153,major,1139559119,trivial,127142,,,,
1139823520,blocker,1139824201,normal,127474,,,,
1139824115,blocker,1139824565,normal,127480,,,,
1139823805,blocker,1139824903,major,127475,,,,
1139891104,normal,1139891494,trivial,127638,,,,
1139906879,minor,1139977772,normal,127704,,,,
1139976490,normal,1139978674,major,127991,,,,
1138354462,minor,1139988824,normal,125486,,,,
1140088567,minor,1140089472,normal,128258,1140090787,minor,,
1140318452,blocker,1140423868,normal,128539,,,,
1140514808,major,1140516982,normal,128818,,,,
1140655624,normal,1140656020,major,129111,,,,
1140759716,normal,1140759755,major,129316,,,,
1141196096,normal,1141196551,critical,129929,1146652299,major,1147958058,critical
1141204826,normal,1141207529,minor,129955,,,,
1141289071,normal,1141352189,minor,130126,,,,
1140688927,enhancement,1141661794,normal,129175,,,,
1141003520,enhancement,1141662409,normal,129524,,,,
1140434051,enhancement,1141769167,normal,128688,,,,
1141836422,normal,1141836451,minor,130996,,,,
1141964254,normal,1141964290,minor,131294,,,,
1141790083,normal,1142230994,minor,130874,1179919845,major,,
1142790872,normal,1142791075,critical,132484,1144221479,normal,,
1142842005,blocker,1142842384,normal,132544,,,,
1142917333,normal,1142917776,minor,132657,,,,
1142999748,normal,1143015750,major,132815,,,,
1143019819,major,1143021687,normal,132846,,,,
1138131704,major,1143185825,normal,125114,,,,
1143262370,normal,1143262392,trivial,133265,,,,
1143439759,normal,1143441161,minor,133345,,,,
1142581902,critical,1143448448,normal,132331,,,,
1143515181,major,1143515340,normal,133487,,,,
1142969160,normal,1143553398,minor,132764,,,,
1143620683,normal,1143626823,blocker,133853,,,,
1142888314,normal,1143712840,major,132619,,,,
1138471704,normal,1143788533,minor,125630,,,,
1143767478,normal,1144116834,major,134227,,,,
1144379757,normal,1144382203,critical,135495,,,,
1144384525,normal,1144386141,major,135515,,,,
1144400740,normal,1144400848,major,135565,,,,
1144407822,normal,1144479018,trivial,135606,,,,
1144656838,minor,1144665098,normal,135884,,,,
1144292675,blocker,1144735597,critical,135227,,,,
1144905496,critical,1144915784,major,136599,,,,
1144332247,normal,1145361802,major,135378,,,,
1145340957,critical,1145370836,normal,137191,,,,
