update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what,update/5/when,update/5/what
1136131494,API inconsistency with IJavaSearchConstants.IMPLEMENTORS and SearchPattern,1136182552,[search] API inconsistency with IJavaSearchConstants.IMPLEMENTORS and SearchPattern,122442,,,,,,,,
1136246610,CompilationUnit,1136246657,CompilationUnit,122486,,,,,,,,
1136132769,Type hierarchy of inner member type misses anoymous subtypes,1136276056,Type hierarchy of inner member type misses anonymous subtypes,122444,1144662899,[hierarchy] Type hierarchy of inner member type misses anonymous subtypes,,,,,,
1136263498,Extra bracket gets generated as shown: System.out.println() ),1136283931,[typing][content assist] Extra bracket gets generated as shown: System.out.println() ),122501,,,,,,,,
1136300870,Externalize Strings forgets substitution pattern,1136342594,[nls tooling] Externalize Strings forgets substitution pattern,122564,,,,,,,,
1136354643,IMember.getCategories() only returns first category,1136355845,[javadoc] IMember.getCategories() only returns first category,122616,,,,,,,,
1136351447,Qualified this has generic type binding instead of parameterized one,1136360091,[1.5][compiler] Qualified this has generic type binding instead of parameterized one,122610,,,,,,,,
1136354759,compiler misses return type substitutability error with multiple inheritance and overriding method,1136360204,[1.5][compiler] Compiler misses return type substitutability error with multiple inheritance and overriding method,122617,,,,,,,,
1136133763,Organize imports adds unused static import,1136364385,[organize import] adds unused static import,122445,,,,,,,,
1136300042,Run JUnit test no longer works for nested static classes [JUnit],1136368163,[junit] Run JUnit test no longer works for nested static classes [JUnit],122562,1149589891,[JUnit] Run JUnit test no longer works for nested static classes,,,,,,
1136368669,Interface shown as Class in Open Type Dialog,1136370730,[open type] Interface shown as Class in Open Type Dialog,122632,,,,,,,,
1136385381,incorrect indentation lebel when using quick fix to create constructor,1136425733,[correction] incorrect indentation lebel when using quick fix to create constructor,122668,1136426527,[ast rewrite] incorrect indentation lebel when using quick fix to create constructor,1190356623,[ast rewrite] incorrect indentation label when using quick fix to create constructor,,,,
1136387678,"Focus lost after ""Show Tooltip Description"" popup for errors",1136426041,"[hovering] Focus lost after ""Show Tooltip Description"" popup for errors",122675,,,,,,,,
1136377451,Java element search fails for generic binary methods,1136426568,[search] Java element search fails for generic binary methods,122653,,,,,,,,
1136431846,"[build path] 
[build path] Build Path variables not updated in library tab after ""Configure Variables"" used",1136439935,[build path],122731,1136440282,[build path] Variable value not updated in source tabe,,,,,,
1136457679,StackOverflow in compiler,1136458598,[1.5][compiler] StackOverflow in compiler,122775,,,,,,,,
1136455283,OutOfMemoryError while cleaning org.eclipse.jdt.core project,1136458891,[builder] OutOfMemoryError while cleaning org.eclipse.jdt.core project,122763,,,,,,,,
1136519976,Reference to binary member constructor not found,1136522732,[search] Reference to binary member constructor not found,122880,,,,,,,,
1136571459,Boxing conversion should be performed in conditional expression,1136576218,[1.5][compiler] Boxing conversion should be performed in conditional expression,122987,,,,,,,,
1136538933,Two places for file comment template,1136600984,Improve code template variable naming,122916,,,,,,,,
