update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what
1137404416,normal,1137404830,minor,123970,,,,,,
1138376734,normal,1138376806,minor,125577,1177594239,normal,,,,
1138716804,normal,1138718636,critical,125914,1138719577,normal,,,,
1139411652,critical,1139847847,normal,126984,,,,,,
1141125356,major,1141136065,normal,129810,,,,,,
1140403573,critical,1141314607,normal,128598,,,,,,
1142581205,normal,1142582007,critical,132329,,,,,,
1141278296,major,1143433922,critical,130105,,,,,,
1144848614,normal,1144860956,critical,136434,,,,,,
1145330719,blocker,1145343153,normal,137173,,,,,,
1147083988,critical,1147205521,normal,140609,,,,,,
1147680878,normal,1147680931,major,141760,,,,,,
1148049325,critical,1148207534,normal,142854,,,,,,
1149134183,normal,1149134792,major,144855,,,,,,
1150735783,normal,1150751470,blocker,147805,,,,,,
1152090987,normal,1152091064,major,149686,,,,,,
1152170668,normal,1152673251,minor,149823,,,,,,
1153389534,major,1153725286,normal,151262,,,,,,
1150976805,normal,1155297797,major,148260,,,,,,
1144750795,normal,1156405020,major,136135,,,,,,
1157069769,critical,1157072755,major,155931,,,,,,
1157707653,blocker,1157707828,critical,156718,1157708501,major,,,,
1159260497,major,1159271176,normal,158768,,,,,,
1159514380,normal,1159514395,trivial,159276,,,,,,
1160726651,normal,1161606398,major,160862,,,,,,
1161679525,normal,1161679560,critical,162087,,,,,,
1163666222,normal,1163757779,blocker,164821,1163758182,critical,,,,
1165409314,normal,1165500132,major,166984,,,,,,
1166602045,major,1168336051,normal,168683,,,,,,
1168417393,major,1168418793,normal,170081,,,,,,
1170329063,major,1170392241,critical,172524,1170392353,blocker,1170407548,critical,,
1155242233,minor,1171002133,normal,153515,,,,,,
1172447186,major,1172584475,normal,175476,,,,,,
1173803001,blocker,1173955316,normal,177216,,,,,,
1171466526,normal,1174318544,major,174232,,,,,,
1174321744,normal,1174326036,minor,178151,,,,,,
1174342682,normal,1174342779,blocker,178172,,,,,,
1174002780,normal,1174504149,enhancement,177697,1174504865,normal,,,,
1174795095,major,1174867123,normal,179180,,,,,,
1175441835,critical,1175476793,major,180396,,,,,,
1172223817,major,1175681898,critical,175288,,,,,,
1175199809,normal,1175776523,major,180112,,,,,,
1176118186,critical,1176138433,normal,181628,,,,,,
1176723435,major,1176723704,normal,182592,,,,,,
1177596275,normal,1177596323,major,184317,,,,,,
1179291924,major,1179320031,minor,187228,,,,,,
1178247122,normal,1180670219,major,185502,,,,,,
1181222064,normal,1181304009,major,191560,,,,,,
1177066854,normal,1181308017,major,183417,,,,,,
1183539760,minor,1183975664,normal,195394,,,,,,
1183621331,normal,1183976824,trivial,195525,,,,,,
1185353709,major,1185371505,normal,197813,,,,,,
1182961023,normal,1185402809,enhancement,194694,1185403578,normal,,,,
1185958528,normal,1185958567,major,198536,,,,,,
1185972701,normal,1186150918,minor,198570,,,,,,
1186400617,normal,1186400635,trivial,198965,,,,,,
1186645805,normal,1186648676,minor,199428,,,,,,
1188260655,normal,1188261498,major,201369,,,,,,
1189049617,critical,1189061484,major,202410,,,,,,
1188377157,normal,1190040388,minor,201578,,,,,,
1190717338,blocker,1190720230,critical,204572,,,,,,
1191491027,normal,1191491107,trivial,205451,,,,,,
1191966988,major,1191967101,critical,205888,,,,,,
1192507798,critical,1192511249,normal,206440,,,,,,
1192644937,major,1192701767,normal,206702,,,,,,
1192673117,normal,1192758548,critical,206721,1192768508,blocker,,,,
1193221070,normal,1193221838,major,207323,,,,,,
1186005912,normal,1194813324,major,198615,,,,,,
1139500097,normal,1196304806,major,127169,,,,,,
1196336285,normal,1196336303,trivial,211477,,,,,,
1196678108,normal,1196678434,major,211780,,,,,,
1196759461,normal,1197029912,trivial,211884,,,,,,
1197696926,critical,1197700782,major,213088,,,,,,
1199963071,major,1199964865,normal,214923,,,,,,
1200667095,normal,1200668253,major,215855,,,,,,
1201108776,critical,1201166424,normal,216359,,,,,,
1201662427,major,1201690043,normal,217054,,,,,,
1201790251,normal,1202137221,major,217332,,,,,,
1203022280,normal,1203067872,trivial,219043,,,,,,
1204118195,major,1204118486,normal,220641,,,,,,
1204117211,normal,1204126905,major,220636,,,,,,
1204188110,normal,1204193283,critical,220745,,,,,,
1204878312,critical,1204885680,normal,221852,,,,,,
1205141436,normal,1205141892,major,222059,,,,,,
1205175337,normal,1205175399,critical,222146,,,,,,
1206006896,normal,1206021588,major,223358,,,,,,
1204302495,major,1206353639,minor,221019,,,,,,
1206589312,major,1206633036,blocker,224318,,,,,,
1206633655,major,1206641685,normal,224470,,,,,,
1206699772,critical,1206701476,normal,224647,,,,,,
1181884601,major,1206895430,normal,192842,,,,,,
1207043597,normal,1207297024,major,225142,,,,,,
1207077120,normal,1207845230,major,225234,,,,,,
1186553876,critical,1207913799,major,199241,,,,,,
