update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what
1136948888,3.2M4 newWizards/importWizards/exportWizards not available,1136976224,3.2M4 newWizards/importWizards/exportWizards not available,123395,,,,
1136974879,Outline for manifest editor's plugin.xml tab has blank root node,1136976498,Outline for manifest editor's plugin.xml tab has blank root node,123451,,,,
1138529692,can't export prebuilt packages,1138564813,can't export prebuilt packages,125646,,,,
1138664987,"""calculate version id"" should use only number of fields supplied.",1138694277,"""calculate version id"" should use only number of fields supplied.",125801,,,,
1138749830,Who doesn't like underscores?,1138750521,Who doesn't like underscores?,125975,,,,
1138937641,path related issue,1138943678,Should not import/export paths in prefs,126312,,,,
1138885182,NPE in ManifestOutline,1139531520,NPE in ManifestOutline,126236,,,,
1139911033,PDE projext wizards generates too many methods and does not follow javadoc conventions,1139911051,PDE project wizards generates too many methods and does not follow javadoc conventions,127743,,,,
1139906684,BIDI: Plug-in project name can't contains Hebrew characters,1139917086,[BiDi] Plug-in project name can't contains Hebrew characters,127703,,,,
1140029016,NPE when on PDE Tools -> Create Ant Build file for org.eclipse.platform.sdk,1140029204,NPE on PDE Tools -> Create Ant Build file for org.eclipse.platform.sdk,128129,,,,
1137679931,Error branding launcher with product icon not helpful,1140085398,[log] Error branding launcher with product icon not helpful,124534,,,,
1139910035,create ant build file does not create expected artifacts,1140106424,Can't generate source plugin if target already contains it,127726,,,,
1140403573,"3.2 M5 Product export to multiple platforms, missing option in export wizard",1140610959,3.2 M5 delta pack not generated correctly,128598,1142346255,Cannot export to other platforms using delta pack,,
1140253272,ico not found when branding with a single icon file (win32),1140779220,ico not found when project name is different from feature/plugin-id,128514,,,,
1141125356,eclipse.buildScript: either documentation or behavior is wrong,1141136065,[doc] eclipse.buildScript: either documentation or behavior is wrong,129810,,,,
1141285486,BIDI: RTL orientation of plugin.xml file,1141311898,[MPE] BIDI: RTL orientation of plugin.xml file,130116,,,,
1143207614,Add base.dir to customBuildCallback's tasks,1143208581,Cleanup base.dir in custom gather.bin.parts targets,133197,,,,
1143309316,Updated documentation for the new headless build system,1143450618,[doc] Updated documentation for the new headless build system,133280,,,,
1144224619,CTRL+C does not work in Extensions page,1144225132,CTRL+V does not work in Extensions page,135022,,,,
1142938299,Version number on feature,1144400086,Failure to export features with only two digits in their number,132704,,,,
1144750795,StackOverflowError in schema editor,1144754939,[Forms] StackOverflowError in schema editor,136135,1178796147,[Schema][Editors] StackOverflowError in schema editor,,
1141304871,Source is missing from registry.compatibility zip,1145883886,[registry]Source is missing from registry.compatibility zip,130194,,,,
1144762405,"""Create Ant build file"" silently fails while ""custom=true"" in build properties",1145989926,"[log] ""Create Ant build file"" silently fails while ""custom=true"" in build properties",136176,,,,
1146150127,NPE in log using product export wizard,1146151294,Illegal argument exception in log using product export wizard,139074,,,,
1146399231,Glitches in context menu labels,1146401967,Glitches in labels,139451,,,,
1146494914,[PDE Form Editor] Poor warning displayed when opening an invalid schema,1146570061,[PDE Form Editor] Unable to open invalid schemas,139604,,,,
1146556598,Updating classpaths gives invalid compile errors,1146622761,javax.xml.parsers is not flagged as unresolved,139679,,,,
1143612907,Packager template files are missing,1146638682,[doc] Packager template files are missing,133820,,,,
1146636922,Bug in pde build script generation!,1146654859,cannot export multiple plugin dependending on each others when they don't have the same level of nesting,139923,,,,
1144414361,Provide an example of an RCP app build,1146668820,[doc] Provide an example of an RCP app build,135631,,,,
1148441520,"If a headless build fails, a popup is displayed",1148463207,Should we keep the eclipse application whe,143421,,,,
1148987109,Copy and Paste don't work in Extension Element Details,1149061524,Copy and Paste don't work Extension Element Details Text controls,144492,,,,
1149137762,Launchable Product Cannot Be Exported Might Because of Wasteful Check,1149534925,"Redundant build.properties is created by ""new plugin from jar file""",144863,,,,
1150442996,Better support for building non-Java projects,1150447845,[workspace] Better support for building non-Java projects,147432,,,,
1150123257,"Plain Old OSGi Project should not specify Bundle-Localization header as ""plugin""",1150815243,Stop using the runtime converter when creating new plug-in projects,146704,,,,
1150942794,Do we really need PDE Tools > Organize Manifest?,1152017612,PDE Tools > Open Manifest,148171,,,,
1151719917,"Locator in ""Import Plug-ins and Fragments"" isn't useful",1152075266,"[Import/Export] Locator in ""Import Plug-ins and Fragments"" isn't useful",149365,1152088137,"Locator in ""Import Plug-ins and Fragments"" isn't useful",,
1152090987,[Wizards] Cannot create a new project in I20060704-0800,1152267439,Cannot create a new project in I20060704-0800,149686,,,,
1152626247,[forms] Combo box seems to lose cursor in Linux,1152626403,[Forms] Combo box seems to lose cursor in Linux,150305,1158064743,Combo box seems to lose cursor in Linux,,
1156331045,New cheat sheet file wizard,1156436656,[Cheat Sheet Authoring] New cheat sheet file wizard,154887,,,,
1157229216,gather logs does not included nested features,1157229238,gather logs does not includ nested features,156043,1212886667,gather logs does not include nested features,,
1153202828,jnlp generation don't resolve binding between MANIFEST.MF & build.properties,1157983350,jnlp generation don't resolve binding between feature.xml & their translation files,150933,,,,
1158103195,Glitches in Cheatsheet editor,1158137843,[Cheat Sheet Authoring] Glitches in Cheatsheet editor,157132,,,,
1158517850,Hide the two cheatsheet wizard options,1158520075,[Cheat Sheet Authoring] Hide the two cheatsheet wizard options,157599,,,,
1158528471,Preview unsaved cheatsheet,1158530254,[Cheat Sheet Authoring] Preview unsaved cheatsheet,157603,,,,
1158529287,Cheatsheet editor falsely marked dirty,1158530485,[Cheat Sheet Authoring] Cheatsheet editor falsely marked dirty,157605,,,,
1153345735,Change default color of reserved OSGi manifest headers in editor,1158532638,Are OSGi manifest headers case sensitive or insensitive?,151172,1163692742,PDE Manifest Editor should treat OSGI manifest headers as case insensitive,,
1158622991,Forms dont' fill out values for required attributes anymore,1158623036,Forms don't fill out values for required attributes anymore,157740,,,,
1158620770,Cheatsheet editor could use a CollapseAll button,1158657436,[Cheat Sheet Authoring] Cheatsheet editor could use a CollapseAll button,157735,,,,
1158621201,Details section of an Item is too tall,1158657531,[Cheat Sheet Authoring] Details section of an Item is too tall,157736,,,,
1158667080,[Cheatsheet editor] Command Parameters don't display all values,1158668006,[Cheat Sheet Authoring] Command Parameters don't display all values,157875,,,,
1158672747,Hard to add formatted text in step description,1158673033,[Cheat Sheet Editor] Hard to add formatted text in step description,157899,,,,
1158670288,Cheat sheet editor outline problems,1158739695,[Cheat Sheet Editor] Cheat sheet editor outline problems,157888,,,,
1158671710,Spaces missing in body text field,1158739755,[Cheat Sheet Editor] Spaces missing in body text field,157894,,,,
1158672436,Confusion with Help section in cheat sheet editor,1158739801,[Cheat Sheet Editor] Confusion with Help section in cheat sheet editor,157898,,,,
1158707496,Java Class wizard opens with an error,1158766480,JavaAttributeWizard shouldn't open with errors when passed an empty string,157944,,,,
1159175460,Plug-in editor has no borders on Vista,1159176950,[Forms] Plug-in editor has no borders on Vista,158575,1161615529,Plug-in editor has no borders on Vista,,
1159267842,Contact sensitive Help is not updated when user navigates between tabs in Transformation configuration editor and Manifest Editor,1159356237,Focus not being set on editor page change,158801,,,,
1159556261,"Extensions of type ""resource"" shoudl allow to select a directory in the plugin editor",1160417772,"Extensions of type ""resource"" should allow to select a directory in the plugin editor",159374,,,,
1160459593,Exporting a product: build fails because it compiles with java 1.3 but it should not,1160467655,[readme] Exporting a product: build fails because it compiles with java 1.3 but it should not,160289,1166168992,Set javacTarget and javacSource in build.properties.,,
1162295550,No editor for composite cheat sheet,1162299443,[Cheat Sheet Editor] No editor for composite cheat sheet,162958,,,,
1164775875,Open / Close Projects in Package Explorer sometimes not working,1164778903,[actions] Open / Close Projects in Package Explorer sometimes not working,166176,,,,
1165998858,Strange ordering of quick outline for Manifest.mf,1166033789,[Quick Outline] Strange ordering of manifest header elements in quick outline dialog and outline view for Manifest.mf,167843,,,,
1166664802,Product > Synchronize uses old org.eclipse.core.runtime.products,1166665611,"Unknown extension point ""org.eclipse.core.runtime.applications""",168818,,,,
1168320084,Error while organizing manifest,1168320179,"Error while organizing manifest: ""Path must include project and resource name""",169949,,,,
