update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what
1136294210,JDT,1136341993,Platform,122549,,,,,,
1136304862,JDT,1136342160,Platform,122567,,,,,,
1136686092,JDT,1136714178,Platform,123027,,,,,,
1136557797,JDT,1136795414,Platform,122964,,,,,,
1136542549,JDT,1136802602,Platform,122925,,,,,,
1136974093,JDT,1136979469,Platform,123442,,,,,,
1137045406,JDT,1137061177,Platform,123586,,,,,,
1137063361,JDT,1137064342,Platform,123626,,,,,,
1137045267,JDT,1137120963,Platform,123584,,,,,,
1137174960,JDT,1137181171,Platform,123847,,,,,,
1137145701,JDT,1137380058,Platform,123776,,,,,,
1137130413,JDT,1137399526,Platform,123746,,,,,,
1137402112,Platform,1137415880,JDT,123965,1137470213,Platform,,,,
1137163170,CDT,1137421467,Platform,123824,,,,,,
1137398705,JDT,1137421546,Platform,123956,,,,,,
1137416031,JDT,1137421612,Platform,124007,,,,,,
1137482325,PDE,1137488146,Platform,124111,,,,,,
1137486352,JDT,1137555223,Platform,124125,,,,,,
1137540395,Platform,1137592004,JDT,124246,1140323475,Platform,,,,
1137612449,JDT,1137612545,Platform,124425,,,,,,
1137655258,PDE,1137667094,Platform,124476,,,,,,
1137735779,JDT,1137744488,Platform,124630,,,,,,
1137892298,JDT,1137896811,Platform,124798,,,,,,
1138075139,JDT,1138083837,Platform,124979,,,,,,
1138125867,PDE,1138174801,Platform,125098,,,,,,
1138201290,PDE,1138231639,Equinox,125250,1149178122,Platform,,,,
1138161756,JDT,1138333547,Platform,125138,,,,,,
1138357616,JDT,1138366576,Platform,125499,,,,,,
1138107902,JDT,1138374435,Platform,125054,,,,,,
1138266517,JDT,1138387710,Platform,125336,,,,,,
1138469449,PDE,1138471307,Platform,125629,1138609809,PDE,1143633215,Platform,,
1137383447,JDT,1138601571,Platform,123938,,,,,,
1138447064,JDT,1138616245,Platform,125626,,,,,,
1138630286,PDE,1138630415,Platform,125746,,,,,,
1138618494,Platform,1138709386,JDT,125720,1138761432,Platform,,,,
1138445366,JDT,1138783036,Platform,125621,,,,,,
1138851461,JDT,1138851926,Platform,126155,,,,,,
1138890763,JDT,1138894908,Platform,126258,,,,,,
1137593245,PDE,1138918330,Platform,124370,,,,,,
1138556193,JDT,1138933758,Platform,125656,,,,,,
1138932624,JDT,1138935924,Platform,126307,,,,,,
1138938559,JDT,1138942167,Platform,126313,,,,,,
1138858085,JDT,1138947080,Platform,126166,,,,,,
1139133242,JDT,1139214233,Platform,126490,,,,,,
1139220588,JDT,1139220743,Platform,126591,,,,,,
1138944758,Platform,1139236433,PDE,126331,1139237268,Platform,,,,
1139230282,PDE,1139239843,Platform,126619,,,,,,
1139313378,JDT,1139313605,Platform,126760,,,,,,
1139218540,JDT,1139320119,Platform,126573,,,,,,
1139315636,PDE,1139341434,Platform,126767,,,,,,
1138121949,Platform,1139387123,PDE,125091,1139402388,Platform,,,,
1139405468,PDE,1139413091,Platform,126960,,,,,,
1139480293,CDT,1139480743,Platform,127092,,,,,,
1139499352,JDT,1139535759,Platform,127164,,,,,,
1138616744,JDT,1139569296,Platform,125714,,,,,,
1139576918,JDT,1139587712,Platform,127305,,,,,,
1139523173,JDT,1139738649,Platform,127218,,,,,,
1139491991,JDT,1139738658,Platform,127140,,,,,,
1139811811,PDE,1139812019,Platform,127449,,,,,,
1139833786,JDT,1139840302,Platform,127506,,,,,,
1139893091,JDT,1139916867,Platform,127658,,,,,,
1136838702,JDT,1139918628,Platform,123179,,,,,,
1139946622,JDT,1139994562,Platform,127949,,,,,,
1139823475,JDT,1140018866,Platform,127473,,,,,,
1139058795,JDT,1140059336,Platform,126457,,,,,,
1139976820,JDT,1140061714,Platform,127992,,,,,,
1140064981,JDT,1140083754,Platform,128176,,,,,,
1140182195,JDT,1140183448,Platform,128455,,,,,,
1140255891,JDT,1140347328,Platform,128517,,,,,,
1140246306,JDT,1140351855,Platform,128510,,,,,,
1140390922,JDT,1140421472,Platform,128579,,,,,,
1140397662,JDT,1140421628,Platform,128594,,,,,,
1140488400,JDT,1140494600,Platform,128762,,,,,,
1140429893,JDT,1140580484,Platform,128670,,,,,,
1140538363,JDT,1140586108,Platform,128898,,,,,,
1140686987,JDT,1140688944,Platform,129168,,,,,,
1140698384,JDT,1140703242,Platform,129200,,,,,,
1140747541,JDT,1140769709,Platform,129295,,,,,,
1140773274,Platform,1140774428,PDE,129350,1140825753,Platform,,,,
1140769959,JDT,1140779478,Platform,129340,,,,,,
1140673980,JDT,1141007309,Platform,129140,,,,,,
1140995060,JDT,1141010588,Platform,129517,,,,,,
1140974689,JDT,1141026087,Platform,129505,,,,,,
1140771069,JDT,1141027046,Platform,129341,,,,,,
1141029243,JDT,1141029857,Platform,129574,,,,,,
1141061140,JDT,1141094715,Platform,129693,,,,,,
1141113503,JDT,1141116181,Platform,129772,,,,,,
1141115945,JDT,1141116694,Platform,129779,,,,,,
1141120024,JDT,1141123800,Platform,129796,,,,,,
1141187259,JDT,1141189834,Platform,129915,,,,,,
1141114635,JDT,1141193483,Platform,129774,,,,,,
1141199221,JDT,1141200465,Platform,129938,,,,,,
1141139024,JDT,1141201409,Platform,129848,,,,,,
1141210095,JDT,1141213294,Platform,129979,,,,,,
1141284050,PDE,1141286924,Platform,130114,,,,,,
1140546931,Platform,1141297753,JDT,128920,1141388847,Platform,,,,
1141306683,JDT,1141307305,Platform,130200,,,,,,
1141380256,JDT,1141381661,Platform,130334,,,,,,
