update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what
1136307765,normal,1136308978,minor,122569,,,,,,
1136294210,normal,1136339355,major,122549,1136341993,blocker,,,,
1136434470,normal,1136441452,major,122735,,,,,,
1136786599,normal,1136791286,minor,123090,,,,,,
1136366224,normal,1136799437,major,122627,,,,,,
1136961722,major,1136964517,critical,123415,1136969542,major,,,,
1136974093,normal,1136979469,major,123442,,,,,,
1136898601,normal,1137137594,critical,123296,1137343009,normal,,,,
1137405979,normal,1137405990,critical,123977,,,,,,
1137479784,normal,1137487943,blocker,124104,,,,,,
1137482325,critical,1137498498,major,124111,,,,,,
1137563781,normal,1137578945,minor,124281,1138780380,normal,1139390988,major,,
1137645966,normal,1137646184,blocker,124465,1137663981,normal,,,,
1137724263,normal,1137748258,critical,124606,,,,,,
1138028587,normal,1138029184,critical,124935,,,,,,
1138035460,normal,1138035485,critical,124953,,,,,,
1138172588,normal,1138182231,critical,125147,,,,,,
1137758667,normal,1138186518,major,124688,1138250068,normal,1138266774,major,,
1138587409,normal,1138587418,minor,125672,,,,,,
1138696432,normal,1138696495,critical,125832,,,,,,
1137163170,normal,1138789567,critical,123824,,,,,,
1138799500,normal,1138865347,major,126071,,,,,,
1138894930,normal,1138952205,trivial,126276,,,,,,
1138975466,normal,1138981307,major,126404,,,,,,
1138890763,normal,1138982862,major,126258,,,,,,
1138963955,normal,1139044725,minor,126365,,,,,,
1138791827,normal,1139200873,major,126044,1139215704,normal,,,,
1136679070,minor,1139232743,normal,123026,,,,,,
1139243851,normal,1139244272,critical,126658,,,,,,
1139168678,normal,1139244300,critical,126508,,,,,,
1138364695,major,1139307723,normal,125521,,,,,,
1138802246,normal,1139308415,major,126085,,,,,,
1139405468,normal,1139413091,major,126960,,,,,,
1139484368,normal,1139485222,critical,127108,1141330972,major,,,,
1139499352,normal,1139535802,major,127164,,,,,,
1139625469,normal,1139628611,major,127363,,,,,,
1138201290,major,1139688109,normal,125250,,,,,,
1139823291,minor,1139824018,normal,127471,,,,,,
1139496710,normal,1139827061,trivial,127151,,,,,,
1138859411,minor,1139836485,major,126170,,,,,,
1139908224,normal,1139908249,minor,127709,,,,,,
1139912110,normal,1140012797,major,127755,,,,,,
1140144287,normal,1140145219,minor,128365,,,,,,
1140105571,normal,1140180537,major,128316,,,,,,
1137540395,minor,1140323475,major,124246,,,,,,
1140397662,enhancement,1140421628,normal,128594,,,,,,
1140423837,normal,1140426341,major,128644,,,,,,
1140103668,normal,1140579876,critical,128309,1140684528,major,,,,
1140429893,minor,1140580484,normal,128670,,,,,,
1140682179,major,1140682956,blocker,129155,1140790708,normal,,,,
1140682718,critical,1140686386,blocker,129156,,,,,,
1140686987,normal,1140688944,major,129168,,,,,,
1140995060,critical,1141029439,normal,129517,,,,,,
1141029243,normal,1141029510,critical,129574,,,,,,
1140761003,normal,1141061206,major,129320,,,,,,
1136464750,critical,1141126065,major,122788,,,,,,
1141129604,normal,1141129627,trivial,129818,,,,,,
1141174278,normal,1141183933,major,129887,1141187058,critical,,,,
1141106407,minor,1141184966,normal,129762,,,,,,
1141188708,major,1141188738,normal,129916,,,,,,
1140769665,major,1141280534,critical,129338,,,,,,
1141258940,critical,1141292992,normal,130079,1141295822,minor,,,,
1141018354,normal,1141363611,major,129551,,,,,,
1141301492,major,1141375588,normal,130171,,,,,,
1141380256,normal,1141380756,major,130334,,,,,,
1139491667,normal,1141386360,critical,127137,,,,,,
1141095583,blocker,1141612137,normal,129731,,,,,,
1141210095,major,1141618654,critical,129979,,,,,,
1141317829,normal,1141641647,major,130237,,,,,,
1141290962,normal,1141739569,major,130130,,,,,,
1141602674,normal,1141947251,blocker,130502,1141978673,normal,1142000871,major,,
1141761530,normal,1141954328,major,130843,,,,,,
1142006764,critical,1142008538,major,131401,,,,,,
1141933058,normal,1142230823,minor,131237,,,,,,
1139572149,blocker,1142376789,major,127290,,,,,,
1142393597,normal,1142394265,critical,131884,1142431880,major,1143082090,critical,1143530053,blocker
1142401475,major,1142418409,normal,131906,,,,,,
1142089845,blocker,1142610308,minor,131438,,,,,,
1141013386,normal,1142736956,major,129540,,,,,,
1142561142,minor,1142845251,normal,132296,,,,,,
1142836424,normal,1143014668,minor,132533,,,,,,
1143105242,normal,1143111717,major,133004,,,,,,
1143059994,enhancement,1143201319,normal,132935,,,,,,
1142847615,major,1143437908,normal,132550,1143446381,major,1144333005,normal,1145517380,major
1136370785,normal,1143444531,major,122639,,,,,,
1143436489,critical,1143446799,blocker,133342,,,,,,
1143215732,blocker,1143453480,normal,133211,,,,,,
1143476788,minor,1143478816,normal,133442,,,,,,
1143534804,normal,1143534832,major,133557,,,,,,
1143536104,normal,1143558334,minor,133568,,,,,,
1143544259,enhancement,1143559342,normal,133631,,,,,,
1143622841,major,1143623113,enhancement,133867,1143636299,major,,,,
1143084109,normal,1143672939,major,132965,1143782649,normal,,,,
1143081411,normal,1143672988,major,132961,1143782617,normal,,,,
1143568205,major,1143676373,normal,133761,,,,,,
1143702615,normal,1143703084,major,134074,,,,,,
1143704636,normal,1143704649,major,134077,,,,,,
1143692833,normal,1143705411,major,134055,,,,,,
1138873560,enhancement,1143714538,normal,126198,,,,,,
1143733718,normal,1143733734,blocker,134181,,,,,,
1143539366,blocker,1143795232,major,133594,1144317396,critical,1144387272,major,,
1143850219,normal,1143850584,minor,134358,,,,,,
1141394611,normal,1144057217,major,130383,,,,,,
1144118930,normal,1144141355,major,134690,,,,,,
1143165646,normal,1144143771,major,133111,1144772565,normal,,,,
1144183421,enhancement,1144185871,normal,134932,,,,,,
1144210119,minor,1144230864,major,134992,,,,,,
1139578469,trivial,1144265458,critical,127312,,,,,,
1144246978,normal,1144283516,minor,135136,,,,,,
1144244251,normal,1144286674,major,135121,,,,,,
1144412642,normal,1144412830,major,135624,,,,,,
1141904151,normal,1144420203,major,131139,1144421041,normal,,,,
1144310028,normal,1144488263,critical,135266,,,,,,
1144589639,normal,1144589772,blocker,135757,,,,,,
1144403721,normal,1144677204,major,135586,,,,,,
1144332575,minor,1144728872,normal,135380,,,,,,
1144851175,normal,1144851251,major,136450,,,,,,
1144854342,normal,1144854359,major,136475,,,,,,
1144843070,major,1144914602,enhancement,136397,1176961290,normal,,,,
1145018224,normal,1145018257,critical,136873,1145025461,major,,,,
1145105436,critical,1145114627,normal,136913,,,,,,
1144929295,major,1145266319,critical,136699,,,,,,
1145286595,blocker,1145290860,major,137088,,,,,,
1145350040,enhancement,1145350670,minor,137223,,,,,,
1144837417,normal,1145355067,major,136371,,,,,,
1145367489,normal,1145371766,major,137349,,,,,,
1145384969,critical,1145431239,major,137410,,,,,,
1145527708,normal,1145533759,critical,137769,1145542370,normal,1145544319,major,1188479551,minor
1145460936,critical,1145558331,major,137614,,,,,,
1145589754,normal,1145590123,major,137908,1145591516,critical,,,,
1145591397,normal,1145591418,major,137913,,,,,,
1145875797,normal,1145878232,major,138220,,,,,,
1145945482,critical,1145949798,normal,138336,,,,,,
1145950184,normal,1145950232,minor,138359,,,,,,
1145445374,blocker,1145957534,major,137541,,,,,,
1145973897,minor,1145976756,normal,138488,,,,,,
1145961221,critical,1145991157,major,138425,,,,,,
1145961063,critical,1145991498,major,138423,,,,,,
1145937896,normal,1146042115,major,138319,,,,,,
1146052959,normal,1146069115,major,138695,,,,,,
1145974656,normal,1146127567,major,138493,,,,,,
1146088781,major,1146221188,normal,138823,,,,,,
1137422561,blocker,1146226710,normal,124027,,,,,,
1143799655,blocker,1146227231,normal,134285,,,,,,
1144403147,blocker,1146227593,normal,135578,,,,,,
1144857750,blocker,1146227641,normal,136486,,,,,,
1146227358,major,1146227821,critical,139262,1146230473,normal,1146472512,critical,,
1146239526,major,1146482521,normal,139319,,,,,,
1146499785,blocker,1146502895,normal,139631,,,,,,
1146555499,normal,1146558751,minor,139673,,,,,,
1146477818,critical,1146563090,normal,139534,,,,,,
1146565369,critical,1146578303,major,139745,1182494028,normal,,,,
1146583975,normal,1146592862,major,139854,,,,,,
1146627978,normal,1146628064,trivial,139902,,,,,,
1146502456,minor,1146645739,normal,139643,,,,,,
1139348954,critical,1146646042,major,126857,,,,,,
1146645341,critical,1146653567,normal,139962,1146654995,critical,,,,
1146657735,normal,1146659295,major,140036,,,,,,
1146662698,major,1146666509,critical,140057,,,,,,
1145464778,critical,1146750421,major,137621,,,,,,
1146754536,normal,1146754590,critical,140256,1146761688,major,1146762534,normal,,
1146814743,normal,1146815237,blocker,140356,,,,,,
1138161756,normal,1146830303,major,125138,1146831637,normal,,,,
1145340272,blocker,1147094478,major,137190,,,,,,
1145955800,blocker,1147102989,critical,138389,,,,,,
1146688525,normal,1147123181,critical,140105,,,,,,
1147110501,critical,1147123299,normal,140716,,,,,,
1147077290,trivial,1147148788,critical,140576,,,,,,
1147075500,minor,1147255416,major,140564,,,,,,
1147299126,normal,1147299607,major,141191,1147352918,critical,,,,
1147343357,normal,1147346839,critical,141341,,,,,,
1147337881,major,1147347674,normal,141317,,,,,,
1145287269,normal,1147348232,major,137091,,,,,,
1147398130,critical,1147399825,normal,141494,,,,,,
1147319226,normal,1147742524,major,141254,,,,,,
1147709603,normal,1147786056,critical,141908,,,,,,
1147172596,normal,1147787137,critical,140843,,,,,,
1147354405,normal,1147787249,major,141395,,,,,,
1146581926,normal,1147861960,critical,139839,,,,,,
1147835891,normal,1147863691,trivial,142172,,,,,,
1147859054,blocker,1147864872,major,142264,,,,,,
1147861849,major,1147864908,normal,142278,,,,,,
1147706790,normal,1147946565,major,141895,1147948150,normal,1147948628,major,,
1148293075,critical,1148294662,normal,143008,,,,,,
1148376699,normal,1148378608,critical,143236,,,,,,
1147433921,critical,1148386588,normal,141581,,,,,,
1148449329,major,1148454802,minor,143432,,,,,,
1142681232,normal,1148478641,major,132450,1161033711,critical,1165575600,blocker,,
1148646865,normal,1148654350,minor,144013,,,,,,
1148615976,normal,1148693336,minor,143920,,,,,,
1148959717,normal,1148978472,major,144400,,,,,,
1148647801,critical,1148978562,normal,144020,,,,,,
1148461657,blocker,1148980272,major,143480,,,,,,
1148889119,normal,1148987993,major,144225,,,,,,
1149130145,major,1149131770,critical,144851,1149188522,major,,,,
1149162767,normal,1149232060,trivial,144926,1149674959,minor,,,,
1149229810,normal,1149243143,major,145049,,,,,,
1148414348,major,1149334384,normal,143382,,,,,,
1149489226,normal,1149489383,minor,145326,,,,,,
1149578119,major,1149578324,critical,145526,,,,,,
1149178171,normal,1149598909,critical,144991,,,,,,
1149599657,critical,1149672020,blocker,145605,1149673145,critical,,,,
1149679140,normal,1149749167,major,145807,,,,,,
1148562842,normal,1149762390,major,143805,,,,,,
1145282140,major,1149804967,blocker,137064,,,,,,
1141103518,critical,1149853203,normal,129755,,,,,,
1150189699,normal,1150191252,major,146843,,,,,,
1150187269,major,1150249293,normal,146833,,,,,,
1147900040,normal,1150280443,major,142395,,,,,,
1147962548,major,1150287512,normal,142623,1181282175,major,,,,
1149084745,normal,1150379564,major,144765,,,,,,
1150359533,blocker,1150379800,major,147295,,,,,,
1150458178,normal,1150697119,major,147488,,,,,,
1149053811,enhancement,1150701480,blocker,144638,,,,,,
1150332815,normal,1150725485,major,147232,,,,,,
1150853166,critical,1150872065,normal,147994,,,,,,
1150872289,normal,1150872373,major,148025,,,,,,
1144925763,normal,1150894484,major,136686,,,,,,
1150987081,critical,1151081494,major,148297,,,,,,
1150274071,normal,1151302444,major,147056,,,,,,
1151061162,normal,1151302538,major,148413,,,,,,
1151063368,normal,1151302580,major,148421,,,,,,
1143646247,normal,1151302702,major,133941,,,,,,
1151307586,normal,1151310673,major,148645,,,,,,
1150275882,blocker,1151325583,normal,147068,,,,,,
