update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what,update/5/when,update/5/what
1136200550,IllegalThreadStateException in BackgroundContentProvider,1136278210,[Viewers] IllegalThreadStateException in BackgroundContentProvider,122457,,,,,,,,
1136298626,Releng documentation should be updated so other teams can use our publishing templates,1136305781,Update releng documentation and provide generic  templates with examples,122560,,,,,,,,
1136294572,GDI Object Leak,1136320956,GDI Object Leak,122550,,,,,,,,
1136294210,Java browsing perspective broken,1136341993,new TreeSelection breaks clients (was: Java browsing perspective broken),122549,1136351804,[Viewers] new TreeSelection breaks clients (was: Java browsing perspective broken),,,,,,
1136280373,[CommonNavigator] CommonActionProvider should subclass ActionGroup,1136375700,h,122517,1136377441,[CommonNavigator] CommonActionProvider should subclass ActionGroup,,,,,,
1136437197,paste is an option in rad only text filed context menu,1136442264,paste is an option in read only text field context menu,122740,,,,,,,,
1136387253,Eclipse stops startup silently when error in action set,1136470807,[Contributions] errors: Eclipse stops startup silently when error in action set,122674,,,,,,,,
1136366725,keyboard  accelerators work even if menus actions are disabled,1136471159,[Commands] handlers: keyboard accelerators work even if menus actions are disabled,122628,,,,,,,,
1136475262,[UA] Eclipse Help Search results - accuracy of the relevance score,1136477266,[Help] Eclipse Help Search results - accuracy of the relevance score,122816,,,,,,,,
1136378462,Help fails when Saxon XML parser is on machine,1136477876,[Help] Help fails when Saxon XML parser is on machine,122654,,,,,,,,
1136412878,Search could not get results in saome,1136477898,[Help] Search could not get results in saome,122714,1143491527,[Help] Search could not get results in some book when there are more than 500,1215597487,[Help][Search] Search could not get results in some book when there are more than 500,1240324214,[Help][Search] Search could not get results in some book when there are more than 500 matches,,
1136786599,"""Show In"" context menu misses shortcut",1136791286,"[navigation] ""Show In"" context menu misses shortcut",123090,,,,,,,,
1136477935,Some UI classes use CPL,1136795498,[Metadata] Some UI classes use CPL,122819,,,,,,,,
1136478487,error in EditorPart javadoc,1136795520,[WorkbenchParts] error in EditorPart javadoc,122822,,,,,,,,
1136521848,ui.navigator plugin does not work with PDE container,1136795728,[CommonNavigator] ui.navigator plugin does not work with PDE container,122890,,,,,,,,
1136562823,Preferences -- Keys(Experimental) -- Restore Defaults not working properly,1136796302,[KeyBindings] Preferences -- Keys(Experimental) -- Restore Defaults not working properly,122980,1136807879,"[KeyBindings] preference page: Experimental page ""Restore Defaults"" not working properly",,,,,,
1136564170,No warning when creating an invalid keybinding sequence,1136796338,[KeyBindings] No warning when creating an invalid keybinding sequence,122982,1136814262,[KeyBindings] errors: No warning when creating an invalid keybinding sequence,,,,,,
1136366224,Coolbar only shown when MainWindow-Resized,1136799437,[RCP] Coolbar only shown when MainWindow-Resized,122627,1138363386,[RCP] (regression) Coolbar only shown when MainWindow-Resized,,,,,,
1136891630,Update removes local delete info,1136893859,[Test Case] Update removes local delete info,123280,,,,,,,,
1136907025,Problems view does not display anything (index out of bounds),1136907070,[Markers] Problems view does not display anything (index out of bounds),123323,,,,,,,,
1136905753,Jumpiness when redocking help sidebar,1136907492,[Help] Jumpiness when redocking help sidebar,123317,,,,,,,,
1136909200,Help Contexts opens in my text editor,1136909210,Help Contents opens in my text editor,123338,1136909525,[Help] Help Contents opens in my text editor,,,,,,
1136904066,translated license not found,1136912159,translated license not found,123309,,,,,,,,
1136961722,Key bindings no longer working,1136969542,[Commands] handlers: action set handlers stop working when two workbench windows open,123415,,,,,,,,
1136969538,ssertionFailedException on AnnotationModel on shutdown,1136969904,assertionFailedException on AnnotationModel on shutdown,123427,,,,,,,,
1136971749,make a basic update RCP app,1136972374,make a basic update RCP app,123435,,,,,,,,
1136974093,"Search for references broken on selection in outline, search view",1136979469,[Commands] handlers: Retarget action handlers aren't registered properly,123442,,,,,,,,
1136979464,Delete not added to undo stack unless selection changes first,1137041417,[typing] Deletion not added to undo stack unless selection changes first,123473,,,,,,,,
1137065216,run/debug latest fails when filtered,1137065225,run/debug latest fails when filtered,123635,,,,,,,,
1137078553,Cannot resize hovers using DefaultInformationControl,1137117022,[hovering] Cannot resize hovers using DefaultInformationControl,123665,,,,,,,,
